com.edu.task1.entity.Bus
numberPassengerSeats;numberPassengerStanding;namePicking;vin;releaseYear;color;mark
39;33;Люкс;1356268102957711787;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@21a06946
32;34;Люкс;9189753408160783440;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@77f03bb1
35;26;Люкс;8192419572942851664;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@326de728
34;26;Люкс;-5166946267280335797;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@25618e91
33;29;Люкс;5672041544872758802;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@7a92922
21;28;Люкс;-4940159232980536397;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@21a06946
23;25;Люкс;-1896471927208587970;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@21a06946
39;35;Люкс;8452689481687246667;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@25618e91
37;28;Люкс;2299053224673816167;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@7a92922
27;28;Люкс;-3924048917039994377;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@25618e91
25;35;Люкс;-3878046978369631442;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@25618e91
35;39;Люкс;-1276319757387524311;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@7a92922
20;29;Люкс;7794280043853593426;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@7a92922
29;39;Люкс;2429252775899079055;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@326de728
26;22;Люкс;-7549924520674906632;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@21a06946
30;22;Люкс;6369944995847995899;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@7a92922
32;36;Люкс;972977462921396540;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@7a92922
37;37;Люкс;5270697418817286803;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@77f03bb1
27;37;Люкс;-5175723514915027976;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@77f03bb1
29;24;Люкс;1331244880724132410;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@21a06946
29;35;Люкс;-2293123872267711020;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@77f03bb1
37;22;Люкс;-6887365679234249666;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@21a06946
39;22;Люкс;8589951834449566094;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@326de728
36;28;Люкс;3686626996592894019;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@21a06946
21;24;Люкс;-3902812102222623348;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@326de728
34;21;Люкс;-6166037172247009680;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@326de728
22;39;Люкс;-6976073332120576352;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@71f2a7d5
29;38;Люкс;-358626260005598248;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@2cfb4a64
33;35;Люкс;7032711856353114394;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@71f2a7d5
22;35;Люкс;-1935500885461007573;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@21a06946
30;31;Люкс;6149350212708178964;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@2cfb4a64
23;38;Люкс;5771695326575273374;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@71f2a7d5
34;31;Люкс;7075149190221370106;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@25618e91
22;23;Люкс;-4301272353462796264;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@77f03bb1
29;33;Люкс;7608543588534188376;Tue Dec 19 22:41:59 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@7a92922
