com.edu.task1.entity.Truck
numberAxle;capacity;namePicking;vin;releaseYear;color;mark
4;0;Люкс;-3377734408979949922;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@21a06946
2;0;Люкс;-2609303454753324991;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@25618e91
6;0;Люкс;3542703103559214185;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@25618e91
2;0;Люкс;8651279655440735085;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@21a06946
2;0;Люкс;-5475885244013512669;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@21a06946
4;0;Люкс;1275706912490695213;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@25618e91
4;0;Люкс;-6405728904621284381;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@326de728
7;0;Люкс;-1530029184407795895;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@21a06946
4;0;Люкс;2868441808566927243;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@71f2a7d5
3;0;Люкс;-7206858932339082716;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@326de728
7;0;Люкс;5534035412400611963;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@21a06946
2;0;Люкс;-1813675729772556787;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@7a92922
3;0;Люкс;6142938811880811104;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@71f2a7d5
4;0;Люкс;4157510907888961915;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@21a06946
2;0;Люкс;4575850404215217286;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@25618e91
7;0;Люкс;953951743672727292;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@77f03bb1
5;0;Люкс;-3138110283792564646;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@25618e91
4;0;Люкс;-2345866680059554857;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@25618e91
4;0;Люкс;-3685518194881615105;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@71f2a7d5
5;0;Люкс;-7596594026483757896;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@21a06946
5;0;Люкс;-1701274599741178080;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@21a06946
5;0;Люкс;-3966797428264712483;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@7a92922
7;0;Люкс;-8088319083452956311;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@25618e91
3;0;Люкс;-4034586415030428520;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@326de728
4;0;Люкс;302868627643532619;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@326de728
7;0;Люкс;-3206021497720963543;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@71f2a7d5
4;0;Люкс;-8239770642177870091;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@71f2a7d5
3;0;Люкс;7288251559413589050;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@326de728
7;0;Люкс;-8767014671536645460;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@21a06946
2;0;Люкс;-198405566459412607;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@21a06946
6;0;Люкс;-6110572281188786460;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@2cfb4a64
6;0;Люкс;-4029780166424469159;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@2cfb4a64
4;0;Люкс;-1682677964933857330;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@326de728
7;0;Люкс;1962423398292523850;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@7a92922
4;0;Люкс;7182073883609740335;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@77f03bb1
3;0;Люкс;-7277830171908802592;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@71f2a7d5
6;0;Люкс;7179151685347819199;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@25618e91
5;0;Люкс;-3506354904423639749;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@21a06946
6;0;Люкс;3586433028754889830;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@326de728
7;0;Люкс;7046924996984250943;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@25618e91
3;0;Люкс;6353344773939015435;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@21a06946
2;0;Люкс;-8095348046932690607;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@326de728
4;0;Люкс;-6442680520546613802;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@326de728
6;0;Люкс;-3384813586815819778;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@71f2a7d5
6;0;Люкс;6733479660740808458;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@71f2a7d5
5;0;Люкс;-2203388154428964605;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@25618e91
7;0;Люкс;-805723957080251154;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@21a06946
3;0;Люкс;-2711834426617948528;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@71f2a7d5
4;0;Люкс;-2220216712409033124;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@7a92922
4;0;Люкс;6492134323332304055;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@7a92922
7;0;Люкс;4550628910512788708;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@2cfb4a64
7;0;Люкс;-2336016249522841495;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@25618e91
7;0;Люкс;2773483104683648433;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@50cbc42f;com.edu.task1.entity.Mark@25618e91
3;0;Люкс;5158793687278417268;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@21a06946
5;0;Люкс;6434875374181785491;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@77f03bb1
6;0;Люкс;7799473244367767123;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@25618e91
7;0;Люкс;-7744380451271051314;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@25618e91
5;0;Люкс;3330904808663612121;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@21a06946
6;0;Люкс;-3494685802036580185;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@7a92922
7;0;Люкс;8537716608537673470;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@7a92922
5;0;Люкс;-6821016470236661812;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@21a06946
6;0;Люкс;6670274603740680527;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@21a06946
6;0;Люкс;-1074727391502092291;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@71f2a7d5
7;0;Люкс;-8661092821493493546;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@7a92922
4;0;Люкс;-2921059436808822621;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@25618e91
5;0;Люкс;6101852624548635770;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@21a06946
6;0;Люкс;-7221049083043545276;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@77f03bb1
5;0;Люкс;7126192636264686106;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@7a92922
7;0;Люкс;1570747080911129064;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@25618e91
4;0;Люкс;-8924270814020476426;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@1ff8b8f;com.edu.task1.entity.Mark@326de728
5;0;Люкс;-8698998950169610519;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@21a06946
2;0;Люкс;1936789192143651626;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@31b7dea0;com.edu.task1.entity.Mark@21a06946
2;0;Люкс;163080519400195539;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@13b6d03;com.edu.task1.entity.Mark@71f2a7d5
3;0;Люкс;-1553967208915722177;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@22a71081;com.edu.task1.entity.Mark@7a92922
2;0;Люкс;-8129365358192542158;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@71f2a7d5
3;0;Люкс;-773037314424627424;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@77f03bb1
3;0;Люкс;-632673752754260860;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@21a06946
4;0;Люкс;-5461662818194262543;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@c39f790;com.edu.task1.entity.Mark@326de728
2;0;Люкс;-4188839493941859672;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@387c703b;com.edu.task1.entity.Mark@71f2a7d5
6;0;Люкс;8853815713173601954;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@7a92922
3;0;Люкс;7797278893459796102;Tue Dec 19 22:57:47 IRKT 2017;com.edu.task1.entity.Color@47d384ee;com.edu.task1.entity.Mark@7a92922
